date,price,open,high,low,vol.,change %,RSI_14,StochRSI,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Middle,BB_Lower,ATR_14,DI_Plus,DI_Minus,ADX_14,CCI_20,Williams_%R,OBV,RSI_Oversold,RSI_Overbought,MACD_Bullish,Above_SMA200,Trend_Bullish,Market_Regime,Return_5D
2020-02-24,1.14789,"1,149.84",1.14984,1.13463,1970000000.0,-1.75%,26.707247479551143,0.0,1.1955915,,,1.1894580675270936,1.1863783899645481,-0.006515461273089551,0.0006699940824734157,-0.0071854553555629665,1.2352068214778005,1.1955915,1.1559761785221994,0.023604285714285727,11.196513950251202,55.038431277613,41.48608304133802,-171.62555770175243,-87.22789443267189,5100000000.0,True,False,False,False,False,Bear,-0.06515432663408527
2020-02-25,1.14365,"1,156.26",1.15992,1.1385,2510000000.0,-0.37%,25.153029356652198,0.0,1.192873,,,1.1850953944292753,1.1847027668286836,-0.009236002128230503,-0.001311205159667368,-0.007924796968563134,1.2387532606792944,1.192873,1.1469927393207058,0.02390357142857145,9.858060660391532,50.28537277752871,44.77891339214246,-134.2132763151348,-91.31188595646307,2590000000.0,True,False,False,False,False,Bear,-0.027613343243125255
2020-02-26,1.15171,"1,142.82",1.15353,1.13147,2280000000.0,0.70%,28.803861970320114,0.12503278929844563,1.190614,,,1.1819158330550585,1.1834089328354018,-0.01061926345772024,-0.0031728168192779425,-0.007446446638442298,1.2399782459148,1.190614,1.1412497540852,0.024155714285714298,9.116446862617577,51.58495475782132,48.389993200625156,-119.4893379875057,-79.05845835488876,4870000000.0,True,False,False,False,False,Bear,-0.03808250340797592
2020-02-27,1.10418,"1,139.76",1.14464,1.10418,2540000000.0,-4.13%,23.851354685880693,0.0,1.1858980000000001,,,1.1745124203831483,1.1803019158614645,-0.015373564915779347,-0.005612966438578224,-0.009760598477201125,1.2483711873770873,1.1858980000000001,1.123424812622913,0.026194285714285725,8.406958987783629,52.06969895287967,51.72045825324908,-153.68468722566058,-100.0,2330000000.0,True,False,False,False,False,Bear,0.012651922693763806
2020-02-28,1.05994,993.32,1.0776,99332.0,1790000000.0,-4.01%,21.954210956664014,0.0,1.179325,,,1.1636007612990389,1.1755818407296423,-0.02245236446365162,-0.008980846043592904,-0.013471518420058715,1.2633172679398776,1.179325,1.0953327320601223,7095.086937142857,3.103757398115342e-05,99.99982583521574,55.65989159354536,283.23527714763,-139.63092358684924,540000000.0,True,False,False,False,False,Bear,0.03403022812612022
2020-03-02,1.0731,"1,083.79",1.09405,1.06425,1700000000.0,1.24%,21.45469507177468,0.0,1.1733585,,,1.1549816411753209,1.1715629450147544,-0.026692764514393064,-0.012523229737752937,-0.014169534776640126,1.2695051612771178,1.1733585,1.0772118387228822,7095.087497142857,4.759832572188609e-05,199.99951870119372,59.23131676508615,-14.90805267997444,-94.16072842438638,2240000000.0,True,False,False,False,False,Bear,-0.03528096169974837
2020-03-03,1.11207,"1,089.97",1.11207,1.08881,1840000000.0,3.63%,32.67633228840121,0.3411108200045118,1.167894,,,1.1508948182062426,1.1692298883475092,-0.026602106269083547,-0.01533900504401906,-0.011263101225064487,1.2649721326994965,1.167894,1.0708158673005035,7095.088751428571,5.273265356511932e-05,199.99949017047692,63.15921184161251,-14.90775542704071,-68.44813935075223,4080000000.0,False,False,False,False,False,Bear,-0.091217279487802
2020-03-04,1.10785,"1,109.59",1.12899,1.10678,2190000000.0,-0.38%,30.833005893909586,0.2850781247905399,1.1621260000000002,,,1.14679531171041,1.1668228339025088,-0.026564557999748883,-0.017584115635165026,-0.008980442364583858,1.259073955522538,1.1621260000000002,1.0651780444774623,7095.089380714286,6.976656296191264e-05,199.99948807651853,67.07242637376244,-14.907610458480516,-71.23251517550803,1890000000.0,False,False,False,False,False,Bear,-0.08863113237351627
2020-03-05,1.11815,"1,125.05",1.13107,1.11403,1560000000.0,0.93%,34.02453047144496,0.3820928067564323,1.1568915,,,1.144067186785609,1.1649140953180968,-0.025410757412666074,-0.019149443990665236,-0.006261313422000838,1.2513088298711628,1.1568915,1.0624741701288372,7095.089945,6.41187884797947e-05,199.99947366015084,71.38538761450359,-14.907501309117833,-63.62286562731997,3450000000.0,False,False,False,False,False,Bear,83743.57809775075
2020-03-06,1.09601,"1,116.54",1.12345,1.08775,1500000000.0,-1.98%,29.772620467772782,0.29617462534867256,1.1511845,,,1.1394903118536461,1.1622119739330734,-0.02598335515882444,-0.02051622622429708,-0.00546712893452736,1.2458453295525607,1.1511845,1.0565236704474394,7095.091715714285,6.411877247773873e-05,199.99944504895367,75.7152663492349,-14.907615772578904,-77.3789173789174,1950000000.0,True,False,False,False,False,Bear,87229.04352150072
2020-03-09,1.03524,"1,065.40",1.06585,1.01995,1590000000.0,-5.54%,25.32439579361659,0.14900834927850004,1.1437754999999998,,,1.1295617107247276,1.1572326808376587,-0.030983614302865004,-0.022609703840010667,-0.008373910462854336,1.2502692152531594,1.1437754999999998,1.0372817847468403,7095.095972142857,6.411873401215966e-05,199.99937906809916,79.79778239014412,-14.908104935345388,-91.72171088251217,360000000.0,True,False,False,False,False,Bear,84895.25594065145
